Bias_data_mat_h21,Bias_data_mat_h22,Bias_data_mat_h23
35,36,-1.04
35,37,-1.246666667
35,38,-1.31
35,39,-0.723333332999999
35,40,-1.86
35,41,-2.606666667
35,42,-1.72
35,43,-0.816666667
35,44,-1.23
40,1,-0.98666667
40,2,-0.0800000000000001
40,3,-3.783333333
40,4,-4.593333333
40,6,0.466666667
40,7,1.61
40,8,1.2
40,9,-0.199999999999999
40,10,1.636666667
40,11,1.46
40,12,-1.126666667
40,13,-2.816666667
40,14,-1.84
40,15,-0.743333333
40,16,-0.123333333
40,17,-0.283333333
40,18,-0.930000000000001
40,19,-1.476666667
40,20,-0.276666667
40,21,-0.0833333329999997
40,22,0.676666666999999
40,23,0.263333332999999
40,24,0.133333332999999
40,26,0.44
40,27,1.15
40,28,1.106666667
40,30,0.5
40,31,-0.196666666999999
40,32,-0.136666667
40,34,0.166666667
40,35,-0.183333333
40,36,-0.6
40,38,-1.12
40,39,-0.973333332999999
40,40,-0.83
40,42,-1.28
40,43,-1.036666667
40,44,-1.04
40,46,0.0666666670000002
40,47,-0.096666667
40,51,0.696666667
40,52,0.92
40,53,1.016666667
40,54,0.246666667
40,55,-0.713333333
40,56,-0.83
40,57,-0.65
40,58,-0.100000000000001
40,59,0.366666667
40,60,-0.0833333329999997
40,61,-0.0100000000000007
40,63,0.0266666670000006
40,64,-0.4
40,66,-0.283333333
40,67,-0.266666667
40,68,-0.816666667000001
40,70,0.273333333
40,71,0.37
40,72,0.223333332999999
40,73,0.51
40,74,0.703333333
40,75,0.256666667
40,77,-1.273333333
40,78,-2.44
40,79,-2.01
40,80,-1.783333333
40,81,-1.33
40,82,0.0433333330000001
40,83,-0.366666667
40,84,-1.256666667
40,85,-0.513333333
40,86,-0.75
40,87,-0.65
40,88,-0.413333333
40,89,-0.393333333
40,90,-0.123333333
40,91,0.086666667
40,93,0.736666667
43,1,0.213333330000001
43,5,-0.393333332999999
43,6,1.396666667
43,7,1.64
43,8,0.800000000000001
43,9,0.369999999999999
43,10,1.496666667
43,11,2.32
43,12,-1.696666667
43,13,-2.816666667
43,14,-2.24
43,15,-0.893333333
43,16,-1.833333333
43,17,0.196666667
43,18,-0.29
43,19,-0.976666667
43,21,-0.313333332999999
43,22,-0.143333333
43,23,-0.156666667000001
43,24,-0.436666667
43,25,-0.476666667
43,26,-0.19
43,28,0.226666667
43,29,0.839999999999999
47,2,1.42
47,3,-3.683333333
47,4,-4.093333333
47,5,-1.893333333
47,6,-0.103333333
47,7,0.84
47,8,0.4
47,9,-0.23
47,10,0.396666667
47,11,1.32
51,4,-4.293333333
51,5,-0.793333333
51,6,0.696666667
51,7,1.64
51,10,0.996666667
51,14,-2.44
51,17,-0.303333333
51,19,-1.576666667
51,20,-0.896666667
51,21,-0.0633333329999992
51,22,0.486666667
51,23,0.443333333
51,24,-0.0366666670000004
51,25,-0.276666667
51,26,0.31
51,30,0.71
51,31,-0.556666667
51,33,-0.26
51,34,0.146666667000001
60,3,-1.083333333
60,4,-4.093333333
60,5,-2.493333333
60,6,0.796666667
60,7,2.34
60,8,1.6
60,9,0.869999999999999
60,10,1.396666667
60,11,1.92
60,12,-1.396666667
60,13,-2.116666667
60,14,-1.94
60,16,-0.133333332999999
60,17,-0.103333333
60,18,-0.86
60,19,-1.476666667
60,20,-0.446666667
60,21,0.236666667000001
60,22,0.656666667
60,23,1.043333333
60,24,-0.136666667
60,25,-0.276666667
60,26,0.71
60,27,1.51
60,28,1.726666667
60,29,1.24
60,30,1.41
60,31,-0.156666667
60,32,-0.346666667
60,33,0.0599999999999996
60,34,0.746666667
60,35,0.176666667
60,36,-0.31
60,37,-0.976666667
60,38,-1.44
60,39,-0.923333333
60,40,-0.96
60,41,-1.806666667
60,42,-1.22
60,43,-0.916666667
60,44,-1.13
60,45,-0.24
60,46,-0.333333333
60,47,-0.496666667
60,48,-0.74
60,49,-0.556666667
62,1,0.813333330000001
62,2,2.42
62,3,NaN
62,4,-1.093333333
62,5,-1.393333333
62,6,1.396666667
62,7,1.74
62,8,1.8
62,9,0.17
62,10,2.796666667
62,11,2.82
62,12,0.373333333
62,13,-1.316666667
62,14,-1.04
62,15,-0.893333333
62,16,0.166666667
62,17,0.596666667
62,18,0.14
62,19,-0.476666667
62,20,-0.0466666670000002
62,22,0.556666667
62,23,0.643333332999999
62,24,-0.136666667
62,25,-0.276666667
62,26,1.21
62,27,1.51
62,28,NaN
62,29,1.24
62,30,1.21
62,31,-0.756666666999999
62,32,-0.846666667
62,33,0.66
62,34,0.946666667000001
62,35,0.476666667
62,36,-0.26
62,37,-0.976666667
62,38,-1.14
62,39,-0.373333333
62,40,-1.46
62,41,-2.106666667
62,42,-1.02
62,43,-0.416666667
62,44,-0.93
62,45,-0.54
62,46,-0.133333333
65,1,-2.68666667
65,3,-1.283333333
65,4,-4.093333333
65,5,-3.593333333
65,7,0.640000000000001
65,9,0.77
65,11,0.92
65,12,-1.946666667
65,13,-2.216666667
65,15,-0.793333333000001
65,16,-1.333333333
65,17,-0.803333333
65,18,-1.66
65,19,-1.476666667
65,20,-0.546666667
65,21,-0.0133333329999994
65,22,0.506666666999999
65,23,0.793333333
65,24,-0.386666667
65,25,-1.026666667
65,27,1.91
65,34,0.746666667
65,36,-0.51
65,37,-1.126666667
65,38,-1
65,39,0.126666667
65,40,-1.22
65,41,-2.206666667
65,42,-1.55
65,43,-1.296666667
65,44,-1.2
65,45,-1.19
65,46,-0.503333333
65,47,-0.676666667
65,48,-0.16
65,49,0.0433333329999996
65,50,0.976666667
65,51,1.226666667
65,52,1.6
65,53,1.636666667
65,54,0.196666667
65,55,-0.733333333
65,56,-0.84
65,57,-0.67
65,58,0.27
65,59,0.346666667
65,60,-0.0233333330000001
65,61,-0.29
65,62,-0.0533333329999994
65,63,-0.00333333299999961
65,64,-0.41
65,65,-0.0466666669999993
65,66,0.0266666669999998
65,67,0.323333333
65,68,-0.646666667000001
65,69,-0.493333333000001
65,70,0.603333333
65,71,0.45
65,72,0.543333333
65,73,0.619999999999999
65,74,0.713333333
65,75,0.016666667
65,76,-0.0833333329999997
65,77,-1.283333333
65,78,-2.04
65,79,-1.63
65,80,-1.793333333
65,81,-1.58
65,82,-0.086666667
65,83,-0.126666667
65,84,-0.566666667
65,86,-0.66
65,87,0.03
65,88,-0.183333333
65,89,-0.183333333
65,90,0.076666667
65,92,0.806666667
65,93,0.186666667
65,94,-0.036666667
65,95,0.26
65,96,0.626666667
65,97,0.493333333
65,98,0.503333333
65,99,0.406666667
65,100,-0.096666667
65,101,-0.216666667
65,102,-0.363333333
65,104,-1.81
65,105,-3.056666667
66,1,NaN
66,2,NaN
66,4,NaN
66,5,-1.393333333
66,6,1.396666667
66,7,0.84
66,8,0.100000000000001
66,9,-0.130000000000001
66,10,0.796666667
66,11,0.82
66,12,-1.396666667
66,13,-1.916666667
66,14,-1.74
66,15,-1.893333333
66,16,-0.233333333
66,17,-0.503333333
66,19,-2.276666667
66,20,-1.546666667
66,22,0.256666666999999
66,23,0.143333332999999
66,24,0.363333333
66,25,-0.376666666999999
66,26,0.61
66,27,1.31
66,28,1.226666667
66,29,1.14
66,31,-0.956666667
66,34,0.446666667000001
67,2,0.42
67,3,-2.683333333
67,4,-4.693333333
67,6,0.396666667
67,7,2.64
67,8,0.9
67,9,0.77
67,10,1.496666667
67,13,-1.716666667
67,14,-2.14
67,17,-0.703333333
68,1,-2.05666667
68,2,1.67
68,3,-3.283333333
68,4,-4.093333333
68,5,-1.143333333
68,6,-0.103333333
68,8,0.700000000000001
68,9,-0.0800000000000001
68,11,1.02
68,12,-1.396666667
68,13,-2.516666667
68,14,-2.04
68,15,-2.193333333
68,16,-0.733333333
68,17,-0.803333333
68,18,-1.06
68,19,-1.776666667
68,20,-0.896666667
68,21,0.136666667
68,22,0.556666667
69,1,-1.68666667
69,2,NaN
69,3,-2.183333333
69,4,-4.593333333
69,5,-2.393333333
69,6,0.396666667
69,7,1.14
69,11,1.02
69,13,-3.316666667
69,17,0.096666667
69,18,-0.36
69,19,-0.976666667
69,20,-0.646666667
69,21,0.136666667
69,24,-0.336666667
69,25,-0.876666666999999
69,26,0.21
69,29,1.34
69,30,0.41
69,31,-0.156666667
69,33,0.859999999999999
69,34,0.646666667000001
70,1,-0.686666669999999
70,2,-0.58
70,3,-4.183333333
70,4,-6.093333333
70,5,-1.893333333
70,6,0.396666667
70,7,-0.359999999999999
70,8,-0.699999999999999
70,9,-0.83
70,10,0.596666667000001
70,11,0.220000000000001
70,12,-1.596666667
70,13,-2.116666667
70,14,-0.840000000000001
70,15,-1.893333333
70,16,-1.233333333
70,17,-0.753333333
70,18,-1.36
70,19,-1.876666667
70,20,-0.246666667
70,21,0.536666667
70,22,0.856666667
70,23,0.0433333329999996
70,24,0.0633333330000001
70,25,0.0233333330000001
70,26,0.71
70,27,0.609999999999999
70,28,0.626666667
70,29,0.739999999999999
70,30,0.91
70,31,-0.356666666999999
70,32,-0.146666667
70,33,0.56
70,34,0.746666667
70,36,-0.76
70,37,-1.226666667
70,38,-0.94
70,40,-1.56
72,1,0.813333330000001
72,2,NaN
72,3,-1.683333333
72,4,-3.093333333
72,5,-2.893333333
72,6,1.646666667
72,8,1.3
72,9,1.42
72,11,1.82
72,12,-0.996666667000001
72,14,-1.54
72,15,-0.393333333
72,18,-0.61
72,19,-1.276666667
72,20,-1.646666667
72,22,0.856666667
72,23,1.043333333
72,24,0.363333333
72,25,0.723333333
72,26,0.91
72,27,1.71
72,29,NaN
72,30,1.41
75,1,-0.186666669999999
75,2,1.42
75,3,-0.683333333
75,4,-2.593333333
75,5,-2.393333333
75,6,0.396666667
75,8,1.8
75,12,-1.596666667
75,16,-2.083333333
75,17,-1.603333333
79,1,-0.98666667
79,2,2.42
79,3,-3.583333333
79,4,-4.393333333
79,5,-2.693333333
79,6,0.396666667
79,7,0.84
79,8,0.4
79,9,0.17
79,10,0.796666667
79,14,-3.44
79,15,-1.393333333
79,16,-0.133333332999999
79,17,0.196666667
79,18,-0.260000000000001
79,20,-0.446666667
79,21,-1.063333333
79,22,-0.0433333330000005
79,23,0.443333333
79,24,-0.0366666670000004
79,25,-0.476666667
79,26,-0.89
80,2,-0.58
80,4,-3.793333333
80,5,-3.493333333
80,7,1.44
80,8,1.2
80,9,-0.630000000000001
80,10,1.496666667
80,13,-2.316666667
80,17,-0.503333333
80,18,-0.760000000000001
80,19,-1.376666667
80,22,0.756666666999999
80,24,-0.536666667
82,1,0.613333330000001
82,2,3.72
82,7,1.64
82,8,1.8
82,9,0.92
82,10,1.846666667
82,11,1.67
82,12,-1.696666667
82,13,-2.266666667
82,14,-2.54
82,15,-1.393333333
82,16,-0.233333333
82,17,-0.503333333
82,18,-1.26
82,19,-1.876666667
82,20,-0.546666667
82,21,0.736666667000001
82,22,0.656666667
82,23,0.643333332999999
82,24,-0.436666667
82,25,-0.476666667
82,26,0.81
82,27,1.61
82,31,-1.256666667
82,32,-1.446666667
82,35,0.676666667
84,1,-3.18666667
84,2,0.42
84,4,-7.093333333
84,5,0.106666667000001
84,6,0.896666667
84,7,1.64
84,9,-1.13
84,10,0.396666667
84,11,0.720000000000001
84,12,-2.196666667
84,14,-1.54
84,15,-3.393333333
84,16,-2.333333333
84,17,-1.103333333
84,18,-1.46
84,19,-1.476666667
84,20,-0.646666667
84,21,1.136666667
84,22,1.256666667
84,24,-0.936666667
84,25,-1.276666667
84,26,-0.79
84,28,0.226666667
84,29,0.0399999999999991
84,30,0.109999999999999
84,31,-2.156666667
84,32,-1.346666667
84,33,-1.24
84,34,0.246666667
84,35,-1.723333333
84,36,NaN
84,37,-0.776666667
84,38,-0.840000000000001
84,39,-0.523333333
84,40,-1.26
84,41,-2.206666667
84,42,-0.82
84,43,-0.216666667
84,44,-0.13
84,45,0.26
84,46,0.266666667
84,48,-0.14
84,49,0.0433333329999996
84,50,0.986666667
84,51,0.676666667
84,52,0.28
84,53,0.236666667
84,54,-0.903333333
84,55,-1.633333333
84,56,-0.74
84,57,-1.07
84,58,-0.58
84,59,0.296666667
84,60,-0.223333333
84,61,-0.640000000000001
84,62,-0.253333333
84,63,-0.153333333
84,64,-0.51
84,65,-0.346666667
84,66,-0.323333333
84,67,-0.576666667
84,68,-1.046666667
84,70,0.803333333
84,71,0.25
84,72,0.543333333
84,73,0.22
84,74,0.713333333
84,75,0.116666667
84,76,-0.583333333
84,77,-0.683333333
84,78,-1.94
84,79,-0.83
84,80,-1.093333333
84,81,-1.48
84,82,0.213333333
84,83,-0.056666667
84,84,-0.566666667
84,85,-0.543333333
84,86,-0.16
84,88,-0.083333333
84,89,0.016666667
84,90,0.076666667
84,92,0.406666667
84,93,0.436666667
84,94,0.163333333
84,96,-0.173333333
84,97,-0.00666666700000018
84,98,-0.296666667
84,100,-0.296666667
84,101,-0.616666667
84,102,-0.563333333
84,103,-0.796666666999999
84,104,-1.81
84,105,-2.656666667
84,106,-1.873333333
84,108,-1.603333333
84,109,-1.486666667
84,110,-0.326666667
84,112,-0.143333333
84,113,-0.093333333
84,114,-0.053333333
86,1,2.01333333
86,3,-5.183333333
86,5,-3.093333333
86,11,2.72
86,12,0.203333333
86,13,-1.116666667
86,16,-2.333333333
86,21,0.286666667
86,23,0.543333333
86,24,-0.636666667
86,25,-1.076666667
87,1,-1.68666667
87,3,NaN
87,5,NaN
87,6,2.196666667
87,7,2.64
87,8,1.9
87,10,NaN
87,11,1.32
87,13,-3.316666667
87,15,-1.793333333
87,16,-0.833333333
87,26,NaN
87,27,NaN
87,28,NaN
87,33,0.76
87,34,0.846666667
94,5,NaN
94,6,-0.603333333
94,7,1.74
94,8,1.1
94,9,0.369999999999999
94,10,1.096666667
94,12,-0.996666667000001
94,14,-1.74
94,15,0.206666666999999
94,16,-1.033333333
94,18,-0.760000000000001
94,19,-1.376666667
94,21,-0.0733333329999999
94,22,0.556666667
94,23,0.763333332999999
