Bias_data_mat_h31,Bias_data_mat_h32,Bias_data_mat_h33
9,2,-1.083333333
9,3,-3.093333333
9,4,-1.893333333
9,5,-0.603333333
9,6,1.14
9,7,0.300000000000001
9,8,0.970000000000001
9,9,1.296666667
9,10,NaN
9,11,0.00333333299999872
9,12,-1.016666667
9,14,-1.893333333
9,15,-1.433333333
9,16,-0.603333333
9,17,-2.46
9,18,-1.676666667
9,19,-1.646666667
9,21,0.056666667
9,22,0.443333333
9,23,-0.0366666670000004
9,24,0.123333333000001
9,25,0.41
9,28,2.74
9,29,1.11
9,30,0.243333333000001
12,1,NaN
12,2,NaN
12,4,NaN
12,6,NaN
12,7,0.300000000000001
12,8,1.07
12,9,1.296666667
12,10,1.62
12,11,-0.196666667000001
12,12,-1.916666667
12,14,-1.893333333
12,17,-1.21
12,18,-1.376666667
12,20,-1.313333333
12,21,0.556666667
12,22,0.843333332999999
12,23,-0.236666667
12,24,-0.676666667
12,27,1.526666667
12,28,2.14
12,31,-1.346666667
12,32,-1.04
12,33,-0.553333333
12,34,-0.423333333
13,1,NaN
13,2,-5.183333333
13,4,-3.893333333
13,6,0.140000000000001
13,8,1.17
13,9,1.596666667
13,10,2.02
13,11,0.103333333
13,12,-1.036666667
13,13,-2.29
13,16,-1.603333333
13,17,-1.86
13,18,-2.176666667
13,19,-2.346666667
13,20,-1.963333333
13,22,0.243333333
13,29,0.71
15,4,-5.893333333
15,12,-3.316666667
15,13,-4.04
15,15,-3.083333333
15,16,-0.353333333
15,17,-1.01
15,18,-1.776666667
15,20,-0.363333333
15,21,0.306666667
15,22,1.293333333
15,23,1.013333333
15,24,-0.376666666999999
15,25,-0.39
15,26,1.51
15,27,1.626666667
15,28,1.04
15,30,-0.806666667
15,31,-0.746666667
15,33,0.746666667
15,34,0.226666667
15,35,-0.609999999999999
16,1,0.42
16,2,-4.683333333
16,3,-4.593333333
16,4,-1.893333333
16,5,-1.603333333
16,7,0.800000000000001
16,8,1.27
16,9,1.296666667
16,10,1.12
16,12,-1.816666667
19,1,-0.58
19,2,-4.183333333
19,3,-4.593333333
19,4,-4.093333333
19,5,-0.803333332999999
19,6,2.64
19,7,1
19,8,1.17
19,9,0.796666667
19,10,1.32
19,11,-0.196666667000001
19,12,-2.316666667
19,13,-3.84
19,14,-2.693333333
19,15,-1.233333333
20,2,-4.683333333
20,4,-3.493333333
20,5,-3.203333333
20,9,1.396666667
20,11,-0.106666667000001
20,12,-1.916666667
20,14,-1.993333333
20,15,-1.833333333
20,16,-2.003333333
20,17,-2.06
20,18,-1.576666667
20,19,-1.946666667
20,20,-1.463333333
20,21,-0.543333333000001
20,23,0.163333333
20,24,-0.176666667
20,26,0.51
20,27,1.726666667
20,28,2.74
20,29,2.41
20,32,-0.24
20,33,-0.553333333
20,35,-0.71
20,36,-2.176666667
20,38,-1.953333333
20,40,-2.206666667
20,42,-2.416666667
20,43,-1.83
20,45,0.566666667
20,46,-0.096666667
20,47,-0.64
20,48,0.273333333
20,49,1.006666667
20,50,1.496666667
20,51,1.98
20,52,2.456666667
20,54,0.566666667
20,55,-0.73
20,56,-1.17
20,57,-0.58
20,58,-0.523333333
20,59,-0.273333333
20,61,0.0466666670000002
20,63,0.0999999999999996
20,64,-0.016666667
20,66,-0.236666667
20,67,-0.816666667000001
20,69,-0.516666667
20,70,-0.109999999999999
20,72,1.03
20,73,1.313333333
20,74,1.416666667
20,75,0.836666667
20,76,-1.183333333
20,77,-2.11
20,78,-2.86
20,79,-4.103333333
20,80,-2.88
20,81,-1.966666667
20,82,-1.456666667
20,83,-0.656666667
20,84,-0.593333333
20,85,-0.66
20,86,-0.67
20,87,-0.413333333
20,88,-0.283333333
20,89,-0.0633333329999999
20,90,0.486666667
20,91,1.046666667
20,92,1.586666667
20,93,1.563333333
20,94,1.8
20,95,1.776666667
20,98,0.976666666999999
20,99,0.993333333
20,100,0.0133333330000003
20,101,0.0466666669999993
20,102,-0.616666667
20,103,-1.57
20,104,-2.906666667
20,105,-3.173333333
20,106,-2.806666667
20,108,-3.096666667
20,109,-2.256666667
20,112,-0.293333333
23,1,-2.18
23,2,-3.683333333
23,3,-2.993333333
23,5,-2.103333333
23,6,2.14
23,8,1.5
23,9,1.696666667
23,10,1.62
23,12,-0.716666667
23,14,-3.193333333
23,15,-3.533333333
23,16,-1.903333333
23,17,-2.7
23,18,-2.576666667
23,20,-1.363333333
23,21,0.556666667
30,1,-1.58
30,2,-4.183333333
30,3,-5.093333333
30,4,-4.293333333
30,5,-4.203333333
30,6,0.940000000000001
30,7,0.5
30,8,0.57
30,9,-0.603333333
30,10,0.540000000000001
30,11,-1.196666667
30,12,-2.216666667
30,13,-2.94
30,14,-2.893333333
30,15,-2.833333333
30,16,-2.853333333
30,17,-1.81
30,18,-1.906666667
30,19,-1.846666667
30,20,-1.663333333
30,21,-1.043333333
30,22,0.0333333329999999
30,23,-0.336666667
30,24,-0.426666667
30,25,0.39
30,26,0.41
30,27,1.126666667
30,28,1.89
30,29,1.15
30,30,0.243333333000001
30,31,-1.346666667
30,32,-0.94
30,33,-0.753333333
30,34,-0.673333333
30,35,-0.899999999999999
30,36,-2.226666667
30,38,-2.373333333
30,40,-3.206666667
30,41,-2.24
30,42,-2.216666667
30,43,-1.71
30,44,-1.44
30,45,-1.083333333
30,46,-0.216666667
30,47,-0.94
30,48,-0.606666667
30,50,1.076666667
31,1,1.92
31,2,-0.683333333
31,3,-1.593333333
31,4,-1.143333333
31,6,1.14
31,8,2.17
31,10,1.32
31,12,-2.616666667
31,13,-3.84
31,14,-3.393333333
31,16,-1.553333333
31,17,-3.56
31,20,-2.163333333
35,1,-0.0800000000000001
35,2,-5.183333333
35,3,-5.693333333
35,4,-4.093333333
35,5,NaN
35,6,0.640000000000001
35,7,0.800000000000001
35,8,1.67
35,9,2.496666667
35,10,3.02
35,11,NaN
35,12,NaN
35,14,NaN
35,15,NaN
35,16,-1.603333333
35,17,-2.76
35,18,-2.676666667
35,19,-2.546666667
35,20,-0.653333333
35,21,-0.323333333000001
35,22,0.673333333
35,23,0.163333333
35,24,-0.376666666999999
35,25,0.00999999999999979
35,26,0.609999999999999
35,27,1.126666667
35,28,1.94
35,29,1.11
35,30,0.143333333
35,31,-1.246666667
35,32,-0.640000000000001
35,33,0.246666667
35,34,0.0766666669999996
35,35,-0.74
35,36,-1.996666667
35,37,-1.96
35,38,-1.703333333
35,39,-1.86
35,40,-2.606666667
35,41,-3.02
35,42,-2.616666667
35,43,-1.03
35,44,-1.54
40,1,-0.779999999999999
40,2,-3.933333333
40,3,-5.293333333
40,4,-4.693333333
40,6,1.18
40,7,1.38
40,8,1.77
40,9,0.686666667000001
40,10,2.36
40,11,-0.0266666670000006
40,12,-1.506666667
40,13,-3.44
40,14,-2.093333333
40,15,-0.633333332999999
40,16,-0.353333333
40,17,-0.99
40,18,-1.536666667
40,19,-1.646666667
40,20,0.346666667
40,21,0.056666667
40,22,0.973333332999999
40,23,-0.096666667
40,24,-0.0266666669999998
40,26,1.23
40,27,1.846666667
40,28,1.91
40,30,-0.0766666669999996
40,31,-0.266666667
40,32,0.45
40,34,-0.0733333329999999
40,35,-0.64
40,36,-1.536666667
40,38,-1.263333333
40,39,-1.8
40,40,-1.706666667
40,42,-2.106666667
40,43,-1.28
40,44,-1.4
40,46,-0.166666667
40,47,-0.0899999999999999
40,51,1.47
40,52,1.116666667
40,53,0.856666667
40,54,0.00666666699999929
40,55,-0.83
40,56,-1.16
40,57,-0.56
40,58,-0.0233333330000001
40,59,0.256666667
40,60,-0.0100000000000007
40,61,-0.0433333329999996
40,63,0.0700000000000003
40,64,-0.436666667
40,66,-0.456666667
40,67,-0.846666667
40,68,-0.683333333
40,70,0.45
40,71,0.773333333
40,72,0.649999999999999
40,73,0.703333333
40,74,0.966666667
40,75,0.256666667
40,77,-2.44
40,78,-2.93
40,79,-3.283333333
40,80,-1.99
40,81,-1.456666667
40,82,-0.256666667
40,83,-0.676666667
40,84,-1.423333333
40,85,-0.86
40,86,-0.86
40,87,-0.663333333
40,88,-0.443333333
40,89,-0.293333333
40,90,0.036666667
40,91,0.506666667
40,93,0.763333333
43,1,-0.0800000000000001
43,5,0.396666667
43,6,1.64
43,7,0.800000000000001
43,8,0.869999999999999
43,9,1.496666667
43,10,2.32
43,11,0.553333332999999
43,12,-2.816666667
43,13,-4.04
43,14,-2.893333333
43,15,-1.833333333
43,16,NaN
43,17,-0.36
43,18,-0.986666667
43,19,-1.146666667
43,21,-0.393333333
43,22,0.0433333329999996
43,23,-0.636666667
43,24,-0.776666667
43,25,-0.19
43,26,0.31
43,28,0.639999999999999
43,29,0.41
47,2,-2.683333333
47,3,-4.593333333
47,4,-4.093333333
47,5,-2.403333333
47,6,0.34
47,7,0.100000000000001
47,8,0.550000000000001
47,9,0.146666667
47,10,0.720000000000001
47,11,-0.496666667000001
51,4,-4.293333333
51,5,-0.403333333000001
51,6,1.54
51,7,1.3
51,10,1.62
51,14,-2.893333333
51,17,-1.16
51,19,-1.846666667
51,20,-0.763333332999999
51,21,-0.0433333330000005
51,22,0.943333333
51,23,0.163333333
51,24,-0.226666667
51,25,0.21
51,26,1.11
51,30,0.243333333000001
51,31,-0.546666666999999
51,33,-0.253333333
51,34,-0.0233333330000001
60,3,-2.493333333
60,4,-3.593333333
60,5,-2.103333333
60,6,1.74
60,7,2.1
60,8,2.17
60,9,1.996666667
60,10,2.22
60,11,0.503333332999999
60,12,-2.016666667
60,13,-2.74
60,14,-2.093333333
60,16,-0.403333333
60,17,-0.86
60,18,-1.476666667
60,19,-1.646666667
60,20,-0.263333332999999
60,21,0.656666667
60,22,1.043333333
60,23,0.863333333
60,24,-0.276666667
60,25,0.21
60,26,1.51
60,27,2.226666667
60,28,2.54
60,29,1.41
60,30,1.043333333
60,31,-0.146666667
60,32,-0.04
60,33,0.246666667
60,34,0.476666667
60,35,-0.00999999999999979
60,36,-0.976666667
60,37,-1.44
60,38,-1.623333333
60,39,-1.76
60,40,-1.806666667
60,41,-2.32
60,42,-1.916666667
60,43,-1.13
60,44,-1.44
60,45,-0.533333333
60,46,-0.496666667
60,47,-0.74
60,48,-0.756666667
60,49,-0.0133333329999998
62,1,1.42
62,2,-0.683333333
62,3,NaN
62,4,-0.893333332999999
62,5,-0.103333333
62,6,2.14
62,7,1.5
62,8,2.17
62,9,1.096666667
62,10,3.32
62,11,2.303333333
62,12,NaN
62,13,-1.54
62,14,-1.093333333
62,15,0.166666667
62,16,-0.103333333
62,17,0.14
62,18,-0.476666667
62,19,-0.846666667
62,20,0.0366666670000004
62,22,0.443333333
62,23,0.263333333
62,24,-0.476666667
62,25,-0.0899999999999999
62,26,2.01
62,27,2.226666667
62,28,NaN
62,29,1.21
62,30,0.743333333000001
62,31,-0.946666667
62,32,-0.24
62,33,0.946666667000001
62,34,0.976666667
62,35,0.24
