Bias_data_mat_h41,Bias_data_mat_h42,Bias_data_mat_h43
9,2,-2.093333333
9,3,-2.893333333
9,4,-0.603333333
9,5,0.140000000000001
9,6,1.2
9,7,1.17
9,8,1.296666667
9,9,1.92
9,10,NaN
9,11,-0.416666666999999
9,12,-1.54
9,14,-1.933333333
9,15,-1.803333333
9,16,-1.46
9,17,-3.276666667
9,18,-1.906666667
9,19,-1.363333333
9,21,0.343333332999999
9,22,0.293333333
9,23,-0.276666667
9,24,0.41
9,25,1.21
9,28,2.59
9,29,0.443333333
9,30,0.0533333330000003
12,1,NaN
12,2,NaN
12,4,NaN
12,6,NaN
12,7,1.17
12,8,1.896666667
12,9,2.02
12,10,0.00333333299999872
12,11,-0.916666666999999
12,12,-2.54
12,14,-1.733333333
12,17,-1.676666667
12,18,-1.446666667
12,20,-1.323333333
12,21,0.793333333
12,22,0.563333333
12,23,-0.476666667
12,24,-0.24
12,27,2.09
12,28,1.91
12,31,-1.49
12,32,-1.153333333
12,33,-0.923333333
12,34,-1.01
13,1,NaN
13,2,-6.093333333
13,4,-3.503333333
13,6,-0.0999999999999996
13,8,1.896666667
13,9,2.22
13,10,0.703333333
13,11,-0.516666666999999
13,12,-1.81
13,13,-2.643333333
13,16,-2.56
13,17,-2.576666667
13,18,-2.546666667
13,19,-2.263333333
13,20,-1.843333333
13,22,0.163333333
13,29,0.143333333
15,4,-4.603333333
15,12,-4.54
15,13,-4.393333333
15,15,NaN
15,16,-1.11
15,17,-1.876666667
15,18,-1.946666667
15,20,-0.493333333000001
15,21,0.443333333
15,22,1.113333333
15,23,0.623333333000001
15,24,0.00999999999999979
15,25,0.16
15,26,1.826666667
15,27,1.79
15,28,-0.0899999999999999
15,30,0.00333333299999961
15,31,0.71
15,33,0.226666667
15,34,-0.51
15,35,-1.776666667
16,1,-2.683333333
16,2,-8.093333333
16,3,-4.393333333
16,4,-1.103333333
16,5,-0.859999999999999
16,7,0.67
16,8,1.796666667
16,9,1.42
16,10,-0.496666667000001
16,12,-2.04
19,1,-4.683333333
19,2,-6.093333333
19,3,-5.393333333
19,4,-3.803333333
19,5,-0.859999999999999
19,6,1.8
19,7,1.37
19,8,1.796666667
19,9,1.32
19,10,-0.196666667000001
19,11,-1.016666667
19,12,-3.24
19,13,-4.393333333
19,14,-3.133333333
19,15,-1.603333333
20,2,-5.093333333
20,4,-3.103333333
20,5,-2.86
20,9,1.42
20,11,-0.516666666999999
20,12,-2.54
20,14,-1.333333333
20,15,-1.603333333
20,16,-2.36
20,17,-2.976666667
20,18,-1.746666667
20,19,-1.763333333
20,20,-1.443333333
20,21,-0.256666667
20,23,0.323333333
20,24,0.71
20,26,1.126666667
20,27,2.44
20,28,2.41
20,29,1.843333333
20,32,-0.253333333
20,33,-0.823333333000001
20,35,-1.976666667
20,36,-2.54
20,38,-2.86
20,40,-2.52
20,42,-2.53
20,43,-1.54
20,45,0.603333333
20,46,-0.0299999999999998
20,47,NaN
20,48,1.016666667
20,49,1.506666667
20,50,2.29
20,51,2.676666667
20,52,2.296666667
20,54,0.359999999999999
20,55,-1.08
20,56,-1.08
20,57,-0.523333333
20,58,-0.923333333
20,59,-0.140000000000001
20,61,-0.153333333
20,63,0.0433333330000005
20,64,-0.123333333
20,66,-0.806666667
20,67,-0.683333333
20,69,-0.33
20,70,0.293333333
20,72,1.113333333
20,73,1.616666667
20,74,1.416666667
20,75,-0.383333333
20,76,-2.24
20,77,-2.58
20,78,-4.293333333
20,79,-4.28
20,80,-2.886666667
20,81,-2.056666667
20,82,-1.776666667
20,83,-0.843333333
20,84,-0.74
20,85,-0.79
20,86,-0.713333333
20,87,-0.403333333
20,88,-0.133333333
20,89,0.326666667
20,90,0.996666667
20,91,1.606666667
20,92,1.913333333
20,93,2.06
20,94,2.236666667
20,95,1.493333333
20,98,0.893333333
20,99,1.073333333
20,100,-0.363333333
20,101,-0.416666666999999
20,102,-1.46
20,103,-2.856666667
20,104,-3.333333333
20,105,-3.296666667
20,106,-3.953333333
20,108,-3.356666667
20,109,-2.333333333
20,112,-0.253333333
23,1,-5.283333333
23,2,-4.593333333
23,3,-2.393333333
23,5,-1.36
23,6,1.8
23,8,2.236666667
23,9,2.22
23,10,0.203333333
23,12,-1.64
23,14,-3.333333333
23,15,-4.203333333
23,16,-3.86
23,17,-4.346666667
23,18,-3.046666667
23,20,-1.743333333
23,21,0.643333332999999
30,1,-4.483333333
30,2,-5.093333333
30,3,-4.393333333
30,4,-4.203333333
30,5,-3.66
30,6,1
30,7,0.82
30,8,0.996666667
30,9,-0.279999999999999
30,10,-1.196666667
30,11,-2.316666667
30,12,-3.34
30,13,-3.493333333
30,14,-3.333333333
30,15,-3.603333333
30,16,-4.26
30,17,-2.576666667
30,18,-2.236666667
30,19,-1.663333333
30,20,-1.573333333
30,21,-0.956666667
30,22,-0.186666667
30,23,-0.576666667
30,24,0.0199999999999996
30,25,1.17
30,26,0.626666667
30,27,1.79
30,28,1.46
30,29,0.563333333
30,30,-0.246666667
30,31,-1.34
30,32,-1.003333333
30,33,-1.223333333
30,34,-1.26
30,35,-1.976666667
30,36,-2.74
30,38,-3.26
30,40,-3.52
30,41,-2.916666667
30,42,-2.21
30,43,-1.94
30,44,-1.533333333
30,45,-1.086666667
30,46,-0.24
30,47,-0.856666667
30,48,-0.00333333300000005
30,50,1.28
31,1,0.0166666669999991
31,2,-3.093333333
31,3,-1.193333333
31,4,-0.603333333
31,6,1.05
31,8,2.296666667
31,10,-1.196666667
31,12,-4.34
31,13,-4.893333333
31,14,-4.133333333
31,16,-3.41
31,17,-3.226666667
31,20,-2.643333333
35,1,-3.183333333
35,2,-6.593333333
35,3,NaN
35,4,-3.103333333
35,5,NaN
35,6,-0.399999999999999
35,7,1.67
35,8,2.496666667
35,9,4.02
35,10,1.203333333
35,11,NaN
35,12,NaN
35,14,NaN
35,15,NaN
35,16,-2.66
35,17,-2.976666667
35,18,-2.446666667
35,19,-2.663333333
35,20,-0.883333333
35,21,0.0233333330000001
35,22,0.163333333
35,23,-0.176666667
35,24,0.00999999999999979
35,25,0.71
35,26,1.226666667
35,27,1.94
35,28,1.51
35,29,0.443333333
35,30,-0.246666667
35,31,-1.04
35,32,0.0466666670000002
35,33,0.0766666669999996
35,34,-0.51
35,35,-1.906666667
35,36,-2.46
35,37,-2.423333333
35,38,-2.69
35,39,-2.706666667
35,40,-3.02
35,41,-3.716666667
35,42,-3.03
35,43,-1.34
35,44,-1.733333333
40,1,-3.783333333
40,2,-5.843333333
40,3,-5.393333333
40,4,-4.433333333
40,6,1.11
40,7,1.86
40,8,2.496666667
40,9,1.46
40,10,0.853333332999999
40,11,-0.626666667
40,12,-2.22
40,13,-3.693333333
40,14,-2.033333333
40,15,-0.853333333
40,16,-1.05
40,17,-1.556666667
40,18,-1.706666667
40,19,-1.463333333
40,20,0.466666666999999
40,21,0.463333333
40,22,0.833333333
40,23,-0.336666666999999
40,24,0.46
40,26,1.946666667
40,27,2.62
40,28,1.78
40,30,-0.226666667
40,31,-0.0499999999999998
40,32,0.676666667
40,34,-0.529999999999999
40,35,-1.576666667
40,36,-1.97
40,38,-2.08
40,39,-2.946666667
40,40,-2.17
40,42,-2.42
40,43,-1.65
