Bias_data_mat_h11,Bias_data_mat_h12,Bias_data_mat_h13
9,2,2.01333333
9,3,0.42
9,4,-1.683333333
9,5,-1.093333333
9,6,0.306666667000001
9,7,0.196666667000001
9,8,0.74
9,9,0.600000000000001
9,10,NaN
9,11,0.596666667000001
9,12,0.720000000000001
9,14,-0.516666666999999
9,15,-0.94
9,16,-0.0933333330000004
9,17,-1.033333333
9,18,-0.603333333
9,19,-0.760000000000001
9,21,-0.446666667
9,22,-0.223333332999999
9,23,-0.0433333330000005
9,24,0.623333333
9,25,0.363333333
9,28,1.21
9,29,0.726666667
9,30,1.04
12,1,NaN
12,2,NaN
12,4,NaN
12,6,NaN
12,7,-0.303333332999999
12,8,0.84
12,9,0.800000000000001
12,10,0.17
12,11,0.896666667
12,12,-0.18
12,14,-1.116666667
12,17,-0.463333333
12,18,-0.103333333
12,20,-0.926666667
12,21,0.203333333
12,22,0.536666667
12,23,-0.143333333
12,24,-0.206666667
12,27,0.31
12,28,0.81
12,31,-0.34
12,32,-0.556666667
12,33,-0.446666667
12,34,0.109999999999999
13,1,NaN
13,2,-1.88666667
13,4,-2.683333333
13,6,-1.293333333
13,8,0.940000000000001
13,9,0.5
13,10,0.57
13,11,1.296666667
13,12,1.17
13,13,-1.046666667
13,16,-1.293333333
13,17,-0.533333333
13,18,-0.403333333
13,19,-1.26
13,20,-1.676666667
13,22,0.0366666670000004
13,29,0.326666667
15,4,-4.933333333
15,12,-0.18
15,13,-1.946666667
15,15,-0.79
15,16,0.106666667
15,17,0.166666667
15,18,-0.00333333300000049
15,20,-0.226666667
15,21,0.253333333
15,22,0.636666667
15,23,0.806666667
15,24,0.543333333
15,25,-0.236666667
15,26,0.223333333
15,27,0.71
15,28,0.66
15,30,0.739999999999999
15,31,-0.59
15,33,0.503333333
15,34,0.56
15,35,0.346666667
16,1,-1.25
16,2,3.81333333
16,3,-0.58
16,4,-1.683333333
16,5,-1.093333333
16,7,0.896666667
16,8,1.24
16,9,0.4
16,10,0.57
16,12,0.82
19,1,-2.75
19,2,1.81333333
19,3,1.42
19,4,-2.783333333
19,5,0.106666667
19,6,1.506666667
19,7,0.596666667
19,8,1.14
19,9,-0.5
19,10,0.17
19,11,0.896666667
19,12,0.42
19,13,-1.796666667
19,14,-1.116666667
19,15,-0.54
20,2,-1.18666667
20,4,-2.083333333
20,5,-4.193333333
20,9,-0.6
20,11,0.956666667
20,12,0.0700000000000003
20,14,-0.416666666999999
20,15,-1.54
20,16,-1.893333333
20,17,-0.433333332999999
20,18,-0.403333333
20,19,-1.06
20,20,-1.376666667
20,21,-0.646666667
20,23,0.316666667
20,24,0.513333332999999
20,26,-0.816666667
20,27,0.31
20,28,1.21
20,29,1.226666667
20,32,-0.656666667
20,33,-0.776666667
20,35,-0.253333333
20,36,-0.323333333
20,38,-1.266666667
20,40,-0.653333333
20,42,-1.606666667
20,43,-1.32
20,45,0.47
20,46,-0.13
20,47,-0.733333333
20,48,0.0333333329999999
20,49,0.1
20,50,0.243333333
20,51,0.986666667
20,52,1.206666667
20,54,1.136666667
20,55,-0.103333333
20,56,-0.533333333000001
20,57,-0.44
20,58,-0.78
20,59,-0.25
20,61,-0.223333333
20,63,0.016666667
20,64,0.0366666670000004
20,66,-0.00666666699999929
20,67,-0.103333333
20,69,-0.736666667000001
20,70,-0.383333333
20,72,0.0500000000000007
20,73,0.543333333
20,74,0.89
20,75,0.533333333
20,76,0.476666667
20,77,0.246666667
20,78,-1.233333333
20,79,-2.37
20,80,-1.69
20,81,-1.823333333
20,82,-1.37
20,83,-0.276666667
20,84,-0.116666667
20,85,-0.396666667
20,86,-0.453333333
20,87,-0.26
20,88,-0.25
20,89,-0.153333333
20,90,-0.023333333
20,91,0.146666667
20,92,0.566666667
20,93,0.736666667
20,94,0.996666667
20,95,0.793333333
20,98,0.483333333
20,99,0.833333333
20,100,0.016666667
20,101,0.153333333
20,102,0.0433333329999996
20,103,-0.243333333000001
20,104,-0.686666667
20,105,-1.37
20,106,-2.246666667
20,108,-1.406666667
20,109,-1.813333333
20,112,-0.073333333
23,1,-2.95
23,2,-1.18666667
23,3,0.52
23,5,-3.093333333
23,6,1.106666667
23,8,1.29
23,9,0.5
23,10,0.17
23,12,1.32
23,14,-1.616666667
23,15,-2.64
23,16,-1.393333333
23,17,-0.953333332999999
23,18,-0.803333333
23,20,-0.676666667
23,21,-0.0266666669999998
30,1,-2.95
30,2,-1.18666667
30,3,-2.68
30,4,-2.383333333
30,5,-4.093333333
30,6,-0.593333332999999
30,7,0.296666667
30,8,0.890000000000001
30,9,-1.12
30,10,-0.279999999999999
30,11,0.546666667
30,12,0.44
30,13,-1.296666667
30,14,-1.316666667
30,15,-1.79
30,16,-1.643333333
30,17,-0.0833333329999997
30,18,-0.403333333
30,19,-0.96
30,20,-1.576666667
30,21,-1.146666667
30,22,-0.0333333329999999
30,23,-0.343333333
30,24,-0.016666667
30,25,0.0633333330000001
30,26,-0.396666667
30,27,-0.04
30,28,0.91
30,29,0.506666667
30,30,1.24
30,31,-0.390000000000001
30,32,-0.756666666999999
30,33,-0.726666667000001
30,34,-0.24
30,35,-0.0133333329999994
30,36,-0.473333333
30,38,-1.626666667
30,40,-0.713333333
30,41,-1.16
30,42,-1.456666667
30,43,-0.919999999999999
30,44,-1.036666667
30,45,-0.88
30,46,-0.16
30,47,-0.383333333
30,48,-0.036666667
30,50,0.0933333329999999
31,1,-3.55
31,2,2.31333333
31,3,0.619999999999999
31,4,-1.183333333
31,6,-0.643333332999999
31,8,1.64
31,10,1.17
31,12,0.57
31,13,-1.696666667
31,14,-0.316666667
31,16,-1.843333333
31,17,-0.633333332999999
31,20,-0.976666667
35,1,-3.55
35,2,0.113333330000001
35,3,-0.98
35,4,-2.683333333
35,5,NaN
35,6,-1.193333333
35,7,0.696666667
35,8,1.14
35,9,1
35,10,1.37
35,11,NaN
35,12,NaN
35,14,NaN
35,15,NaN
35,16,-0.593333333
35,17,-0.333333333
35,18,-1.203333333
35,19,-0.96
35,20,-0.606666667
35,21,-0.396666667
35,22,0.436666667000001
35,23,0.456666666999999
35,24,0.143333332999999
35,25,-0.156666667
35,26,-0.476666667
35,27,0.28
35,28,0.609999999999999
35,29,0.826666667
35,30,0.94
35,31,-0.390000000000001
35,32,-0.756666666999999
35,33,0.153333333
35,34,0.16
35,35,0.0366666670000004
35,36,-0.463333333
35,37,-0.18
35,38,-0.796666667
35,39,-0.840000000000001
35,40,-0.823333333
35,41,-1.86
35,42,-1.206666667
35,43,-0.12
35,44,-1.016666667
40,1,-2.65
40,2,0.0633333300000007
40,3,-0.68
40,4,-2.933333333
40,6,-1.043333333
40,7,0.916666666999999
40,8,1.34
40,9,-0.649999999999999
40,10,0.73
40,11,0.906666667
40,12,0.26
40,13,-2.096666667
40,14,-0.916666666999999
40,15,-0.46
40,16,-0.233333333
40,17,-0.0633333330000001
40,18,-0.143333333
40,19,-0.96
40,20,-0.576666667
40,21,-0.186666667
40,22,0.376666667
40,23,-0.0233333330000001
40,24,0.323333333
40,26,-0.0666666669999998
40,27,0.36
40,28,0.37
40,30,0.639999999999999
40,31,0.300000000000001
40,32,-0.706666667
40,34,0.149999999999999
40,35,0.056666667
40,36,-0.133333333
40,38,-0.656666667
40,39,-0.83
40,40,0.00666666700000018
40,42,-0.786666667
40,43,-0.18
40,44,-0.796666667
40,46,0.18
40,47,-0.0733333329999999
40,51,0.546666667
40,52,0.376666667
40,53,0.81
40,54,0.526666667
40,55,-0.483333333
40,56,-0.713333333
40,57,-0.32
40,58,-0.180000000000001
40,59,0.289999999999999
40,60,0.0366666670000004
40,61,-0.0833333329999997
40,63,0.0266666670000006
40,64,-0.453333333
40,66,-0.196666667
40,67,-0.0933333330000004
40,68,-0.236666667
40,70,0.146666667
40,71,0.163333333
40,72,-0.119999999999999
40,73,0.00333333299999961
40,74,0.409999999999999
40,75,-0.056666667
40,77,-0.0633333330000001
40,78,-1.273333333
40,79,-1.5
40,80,-0.49
40,81,-1.103333333
40,82,0.05
40,83,-0.036666667
40,84,-0.476666667
40,85,-0.346666667
40,86,-0.613333333
40,87,-0.28
40,88,-0.37
40,89,-0.303333333
40,90,-0.033333333
40,91,-0.123333333
40,93,0.506666667
43,1,-2.05
43,5,-1.593333333
43,6,0.606666667000001
43,7,1.396666667
43,8,1.64
43,9,-0.199999999999999
43,10,0.67
43,11,1.546666667
43,12,0.32
43,13,-1.696666667
43,14,-0.816666667
43,15,-0.24
43,16,-1.393333333
43,17,-0.0333333329999999
43,18,0.196666667
43,19,-0.46
43,21,-0.0866666670000003
43,22,-0.0633333329999992
43,23,-0.243333333000001
43,24,0.0433333329999996
43,25,-0.136666667
43,26,-0.376666666999999
43,28,0.21
43,29,0.426666667
47,2,2.51333333
47,3,-1.58
47,4,-2.883333333
47,5,-0.0933333330000004
47,6,-0.193333333
47,7,0.596666667
47,8,0.940000000000001
47,9,-0.399999999999999
47,10,-0.0299999999999994
47,11,0.896666667
51,4,-2.683333333
51,5,-1.093333333
51,6,0.306666667000001
51,7,0.896666667
51,10,0.27
51,14,-1.616666667
51,17,0.0666666670000007
51,19,-1.06
51,20,-0.676666667
51,21,-0.246666667
51,22,0.346666667
51,23,0.056666667
51,24,0.193333333
51,25,-0.0366666670000004
51,26,-0.0766666669999996
51,30,0.839999999999999
51,31,-0.19
51,33,-0.346666667
51,34,0.16
60,3,1.22
60,4,-2.583333333
60,5,-2.593333333
60,6,0.406666667000001
60,7,1.196666667
60,8,1.64
60,9,0
60,10,0.57
60,11,1.196666667
60,12,0.32
60,13,-1.496666667
60,14,-1.416666667
60,16,-0.393333333
60,17,0.166666667
60,18,-0.103333333
60,19,-0.86
60,20,-0.276666667
60,21,-0.146666667
60,22,0.436666667000001
60,23,0.456666666999999
60,24,0.0433333329999996
60,25,-0.136666667
60,26,0.223333333
60,27,0.71
60,28,1.01
60,29,0.426666667
60,30,1.54
60,31,0.41
60,32,-0.456666667
60,33,-0.246666667
60,34,0.46
60,35,0.246666667
60,36,-0.0233333330000001
60,37,-0.31
60,38,-0.976666667
60,39,-0.74
60,40,-0.123333333
60,41,-0.96
60,42,-0.806666667
60,43,-0.22
60,44,-0.916666667
60,45,-0.13
60,46,-0.04
60,47,-0.333333333
60,48,-0.496666667
60,49,-0.54
62,1,-1.25
62,2,3.81333333
62,3,NaN
62,4,-0.683333333
62,5,-1.093333333
62,6,1.106666667
62,7,0.896666667
62,8,1.64
62,9,-0.5
62,10,2.17
62,11,1.796666667
62,12,1.01
62,13,-0.896666667
62,14,-0.616666667000001
62,15,-0.840000000000001
62,16,-0.293333333000001
62,17,0.666666667
62,18,0.396666667
62,19,0.14
62,20,0.123333333
62,22,0.336666667
62,23,0.556666667
62,24,0.243333333
62,25,0.163333333
62,26,0.723333333
62,27,0.51
62,28,NaN
62,29,0.526666667
62,30,1.24
62,31,-0.0899999999999999
62,32,-0.856666666999999
62,33,0.153333333
62,34,0.56
62,35,0.496666667
62,36,-0.0233333330000001
62,37,-0.26
62,38,-0.876666667
62,39,-0.44
62,40,-0.423333333
62,41,-1.21
62,42,-0.606666667
62,43,0.18
62,44,-0.416666667
62,45,-0.18
62,46,-0.04
65,1,-2.9
65,3,2.32
65,4,-3.483333333
65,5,-3.193333333
65,7,-0.903333333000001
65,9,-0.0999999999999996
65,11,0.546666667
65,12,0.0700000000000003
65,13,-1.596666667
65,15,-0.14
65,16,-1.143333333
65,17,-0.283333333
65,18,-0.903333333
65,19,-0.66
65,20,-0.176666667
65,21,-0.0466666670000002
65,22,0.386666667
65,23,0.356666667
65,24,0.0433333329999996
65,25,-0.386666667
65,27,0.96
65,34,0.16
65,36,-0.203333333
65,37,-0.31
65,38,-0.726666667
65,39,0.239999999999999
65,40,-0.0233333330000001
65,41,-1.13
65,42,-1.136666667
65,43,-0.47
65,44,-0.996666667
65,45,-0.28
65,46,-0.14
65,47,-0.333333333
65,48,-0.076666667
65,49,-0.04
65,50,0.233333333
65,51,0.756666667
65,52,0.376666667
65,53,1.03
65,54,-0.0133333330000003
65,55,-0.503333333
65,56,-0.733333333
65,57,-0.34
65,58,-0.0700000000000003
65,59,0.27
65,60,0.0466666670000002
65,61,-0.323333333
65,62,-0.04
65,63,-0.00333333299999961
65,64,-0.403333333
65,65,-0.0600000000000005
65,66,0.0533333330000003
65,67,0.276666667
65,68,-0.0766666670000005
65,69,-0.746666667
65,70,0.506666667
65,71,0.253333333
65,72,0.0500000000000007
65,73,0.143333332999999
65,74,0.42
65,75,-0.186666667000001
65,76,0.016666667
65,77,0.016666667
65,78,-0.983333333
65,79,-1.24
65,80,-0.63
65,81,-1.393333333
65,82,-0.0800000000000001
65,83,0.0133333330000001
65,84,-0.156666667
65,86,-0.443333333
65,87,0.04
65,88,-0.17
65,89,-0.083333333
65,90,-0.083333333
65,92,0.386666667
65,93,0.156666667
65,94,0.036666667
65,95,0.163333333
65,96,0.36
65,97,0.126666667
65,98,0.293333333000001
65,99,0.303333332999999
65,100,-0.0933333330000004
65,101,-0.296666667
65,102,-0.016666667
65,104,-0.896666667
65,105,-1.61
66,1,NaN
66,2,NaN
66,4,NaN
66,5,-1.293333333
66,6,1.106666667
66,7,0.396666667
66,8,0.440000000000001
66,9,-1
66,10,-0.130000000000001
66,11,0.196666667000001
66,12,-0.0800000000000001
66,13,-1.596666667
66,14,-1.216666667
66,15,-1.04
66,16,-0.593333333
66,17,-0.0333333329999999
66,19,-1.36
66,20,-0.976666667
66,22,0.336666667
66,23,-0.0433333330000005
66,24,-0.156666667000001
66,25,-0.236666667
66,26,0.123333333000001
66,27,0.41
66,28,0.609999999999999
66,29,0.526666667
66,31,-0.390000000000001
66,34,0.56
67,2,2.81333333
67,3,0.92
67,4,-3.083333333
67,6,0.106666667000001
67,7,1.396666667
67,8,1.34
67,9,0.0500000000000007
67,10,0.67
67,13,-1.196666667
67,14,-1.016666667
67,17,-0.183333332999999
68,1,-2.65
68,2,3.03333333
68,3,0.119999999999999
68,4,-2.283333333
68,5,-0.493333333000001
68,6,0.206666667
68,8,1.14
68,9,-0.549999999999999
68,11,0.646666667
68,12,0.42
68,13,-1.696666667
68,14,-1.016666667
68,15,-1.19
68,16,-0.293333333000001
68,17,-0.233333333
68,18,-0.203333333
68,19,-1.06
68,20,-0.526666667
68,21,0.153333333
68,22,0.636666667
69,1,-2.75
69,2,NaN
69,3,1.42
69,4,-2.983333333
69,5,-1.893333333
69,6,0.106666667000001
69,7,0.896666667
69,11,0.296666667
69,13,-2.196666667
69,17,0.366666667000001
69,18,0.296666667
69,19,-0.86
69,20,-0.276666667
69,21,-0.0466666670000002
69,24,0.543333333
69,25,-0.336666667
69,26,0.123333333000001
69,29,0.826666667
69,30,0.539999999999999
69,31,-0.34
69,33,0.253333333
69,34,0.46
70,1,-2.25
70,2,3.81333333
70,3,0.220000000000001
70,4,-3.683333333
70,5,-1.093333333
70,6,0.606666667000001
70,7,0.0966666669999992
70,8,-0.359999999999999
70,9,-1.7
70,10,0.17
70,11,0.296666667
70,12,0.120000000000001
70,13,-1.396666667
70,14,-0.0166666669999991
70,15,-1.24
70,16,-0.893333333
70,17,-0.233333333
70,18,-0.403333333
70,19,-1.06
70,20,-0.276666667
70,21,0.153333333
70,22,0.536666667
70,23,-0.343333333
70,24,0.143333332999999
70,25,0.0633333330000001
70,26,0.0233333330000001
70,27,0.11
70,28,0.41
70,29,0.326666667
70,30,0.839999999999999
70,31,-0.0899999999999999
70,32,-0.356666666999999
70,33,0.0533333330000003
70,34,0.46
70,36,-0.373333333
70,37,-0.46
70,38,-0.676666667
70,40,-0.523333333
72,1,-1.25
72,2,NaN
72,3,0.42
72,4,-0.683333333
72,5,-2.593333333
72,6,1.106666667
72,8,1.39
72,9,0.800000000000001
72,11,1.196666667
72,12,0.620000000000001
72,14,-1.066666667
72,15,-0.04
72,18,-0.103333333
72,19,-0.66
72,20,-0.976666667
72,22,0.636666667
