CG_h1_data1,CG_h1_data2,CG_h1_data3,CG_h1_data4
9,3,0.42,1.5
9,4,-1.683333333,-1
9,5,-1.093333333,-2
9,6,0.306666667000001,-1.7
9,7,0.196666667000001,0.199999999999999
9,8,0.74,-0.0999999999999996
9,9,0.600000000000001,0
9,10,NaN,NaN
9,11,0.596666667000001,NaN
9,12,0.720000000000001,0.6
9,15,-0.94,-0.4
9,16,-0.0933333330000004,-1.3
9,17,-1.033333333,0.799999999999999
9,18,-0.603333333,-0.9
9,19,-0.760000000000001,-0.25
9,22,-0.223333332999999,-0.04
9,23,-0.0433333330000005,0.2
9,24,0.623333333,-0.43
9,25,0.363333333,0.0700000000000003
9,29,0.726666667,1.3
9,30,1.04,0.3
12,2,NaN,NaN
12,7,-0.303333332999999,NaN
12,8,0.84,-0.699999999999999
12,9,0.800000000000001,-0.199999999999999
12,10,0.17,0.4
12,11,0.896666667,0
12,12,-0.18,1.6
12,18,-0.103333333,-0.5
12,21,0.203333333,-1.6
12,22,0.536666667,0
12,23,-0.143333333,0.7
12,24,-0.206666667,0.25
12,28,0.81,0.15
12,32,-0.556666667,-0.6
12,33,-0.446666667,-0.5
12,34,0.109999999999999,-0.549999999999999
13,2,-1.88666667,NaN
13,9,0.5,0.200000000000001
13,10,0.57,0.299999999999999
13,11,1.296666667,0
13,12,1.17,0.550000000000001
13,13,-1.046666667,0.65
13,17,-0.533333333,-0.7
13,18,-0.403333333,-0.5
13,19,-1.26,-0.0999999999999996
13,20,-1.676666667,-0.3
15,13,-1.946666667,-0.25
15,16,0.106666667,-2.25
15,17,0.166666667,0
15,18,-0.00333333300000049,-0.0999999999999996
15,21,0.253333333,-0.7
15,22,0.636666667,-0.199999999999999
15,23,0.806666667,0.0999999999999996
15,24,0.543333333,0.65
15,25,-0.236666667,0.25
15,26,0.223333333,-0.85
15,27,0.71,0.25
15,28,0.66,0.699999999999999
15,31,-0.59,0.6
15,34,0.56,0.2
15,35,0.346666667,0.4
16,2,3.81333333,-4
16,3,-0.58,2
16,4,-1.683333333,-1.8
16,5,-1.093333333,-1
16,8,1.24,0.4
16,9,0.4,0.600000000000001
16,10,0.57,0.199999999999999
19,2,1.81333333,-2
19,3,1.42,-1
19,4,-2.783333333,0.0999999999999996
19,5,0.106666667,-4.3
19,6,1.506666667,-1.9
19,7,0.596666667,1.7
19,8,1.14,0.2
19,9,-0.5,1.3
19,10,0.17,0
19,11,0.896666667,-0.0999999999999996
19,12,0.42,1
19,13,-1.796666667,0.4
19,14,-1.116666667,-1.7
19,15,-0.54,-1.5
20,5,-4.193333333,-0.300000000000001
20,12,0.0700000000000003,1.35
20,15,-1.54,0
20,16,-1.893333333,-0.0999999999999996
20,17,-0.433333332999999,-1.4
20,18,-0.403333333,-0.899999999999999
20,19,-1.06,0
20,20,-1.376666667,-0.3
20,21,-0.646666667,-1
20,24,0.513333332999999,-0.17
20,27,0.31,-0.6
20,28,1.21,-0.2
20,29,1.226666667,0.6
20,33,-0.776666667,0.0299999999999994
20,36,-0.323333333,0
20,43,-1.32,-0.8
20,46,-0.13,0.59
20,47,-0.733333333,0.6
20,48,0.0333333329999999,-0.83
20,49,0.1,0
20,50,0.243333333,0.02
20,51,0.986666667,0.04
20,52,1.206666667,0.0699999999999998
20,55,-0.103333333,1
20,56,-0.533333333000001,0.0100000000000007
20,57,-0.44,-0.31
20,58,-0.78,0
20,59,-0.25,-0.33
20,64,0.0366666670000004,-0.00999999999999979
20,67,-0.103333333,0.0200000000000005
20,70,-0.383333333,-0.21
20,73,0.543333333,0
20,74,0.89,0.13
20,75,0.533333333,0.54
20,76,0.476666667,0.34
20,77,0.246666667,0.18
20,78,-1.233333333,0.33
20,79,-2.37,0
20,80,-1.69,-1.18
20,81,-1.823333333,-1.13
20,82,-1.37,-0.71
20,83,-0.276666667,-1.1
20,84,-0.116666667,-0.22
20,85,-0.396666667,-0.02
20,86,-0.453333333,-0.13
20,87,-0.26,-0.29
20,88,-0.25,-0.16
20,89,-0.153333333,-0.11
20,90,-0.023333333,-0.16
20,91,0.146666667,-0.0499999999999999
20,92,0.566666667,-0.0199999999999999
20,93,0.736666667,0.33
20,94,0.996666667,0.25
20,95,0.793333333,0.52
20,99,0.833333333,0.0600000000000001
20,100,0.016666667,1
20,101,0.153333333,-0.16
20,102,0.0433333329999996,0.16
20,103,-0.243333333000001,0.2
20,104,-0.686666667,0.00999999999999979
20,105,-1.37,-0.24
20,106,-2.246666667,-0.49
20,109,-1.813333333,-0.99
23,2,-1.18666667,-0.699999999999999
23,3,0.52,-1.6
23,6,1.106666667,-3.5
23,9,0.5,0.470000000000001
23,10,0.17,0.800000000000001
23,15,-2.64,0.0999999999999996
23,16,-1.393333333,-1.9
23,17,-0.953333332999999,-0.48
23,18,-0.803333333,-0.81
23,21,-0.0266666669999998,-1.12
30,2,-1.18666667,-0.5
30,3,-2.68,1.1
30,4,-2.383333333,-3.3
30,5,-4.093333333,-0.199999999999999
30,6,-0.593333332999999,-3.7
30,7,0.296666667,-0.4
30,8,0.890000000000001,0.0500000000000007
30,9,-1.12,1.52
30,10,-0.279999999999999,-0.75
30,11,0.546666667,-0.35
30,12,0.44,0.33
30,13,-1.296666667,-0.0999999999999996
30,14,-1.316666667,-0.699999999999999
30,15,-1.79,-0.5
30,16,-1.643333333,-0.75
30,17,-0.0833333329999997,-2
30,18,-0.403333333,-0.350000000000001
30,19,-0.96,-0.260000000000001
30,20,-1.576666667,0
30,21,-1.146666667,-0.7
30,22,-0.0333333329999999,-1.03
30,23,-0.343333333,0.41
30,24,-0.016666667,-0.04
