CG_h3_data1,CG_h3_data2,CG_h3_data3,CG_h3_data4
9,3,-3.093333333,1
9,4,-1.893333333,-1
9,5,-0.603333333,0
9,6,1.14,-1
9,7,0.300000000000001,0.9
9,8,0.970000000000001,0.199999999999999
9,9,1.296666667,0
9,10,NaN,NaN
9,11,0.00333333299999872,NaN
9,12,-1.016666667,0.6
9,15,-1.433333333,-0.5
9,16,-0.603333333,-1.2
9,17,-2.46,1
9,18,-1.676666667,-1.6
9,19,-1.646666667,-0.26
9,22,0.443333333,-0.100000000000001
9,23,-0.0366666670000004,0.33
9,24,0.123333333000001,-0.4
9,25,0.41,0
9,29,1.11,1.48
9,30,0.243333333000001,0.199999999999999
12,2,NaN,NaN
12,7,0.300000000000001,NaN
12,8,1.07,0.0999999999999996
12,9,1.296666667,0.6
12,10,1.62,0.399999999999999
12,11,-0.196666667000001,0.199999999999999
12,12,-1.916666667,1
12,18,-1.376666667,-0.3
12,21,0.556666667,-1.88
12,22,0.843333332999999,-0.0499999999999998
12,23,-0.236666667,0.8
12,24,-0.676666667,0.2
12,28,2.14,-0.0499999999999998
12,32,-1.04,-0.449999999999999
12,33,-0.553333333,-0.6
12,34,-0.423333333,-0.5
13,2,-5.183333333,NaN
13,9,1.596666667,0.299999999999999
13,10,2.02,0.200000000000001
13,11,0.103333333,0.6
13,12,-1.036666667,0.520000000000001
13,13,-2.29,0.48
13,17,-1.86,-0.699999999999999
13,18,-2.176666667,-0.399999999999999
13,19,-2.346666667,-0.2
13,20,-1.963333333,-0.3
15,13,-4.04,-0.5
15,16,-0.353333333,NaN
15,17,-1.01,-0.0999999999999996
15,18,-1.776666667,-0.100000000000001
15,21,0.306666667,-0.800000000000001
15,22,1.293333333,-0.85
15,23,1.013333333,0.0999999999999996
15,24,-0.376666666999999,1
15,25,-0.39,0.399999999999999
15,26,1.51,-1.35
15,27,1.626666667,0.199999999999999
15,28,1.04,0.75
15,31,-0.746666667,0.75
15,34,0.226666667,0
15,35,-0.609999999999999,0.0999999999999996
16,2,-4.683333333,2
16,3,-4.593333333,-3.5
16,4,-1.893333333,-2.5
16,5,-1.603333333,0.5
16,8,1.27,-0.6
16,9,1.296666667,0.5
16,10,1.12,0.299999999999999
19,2,-4.183333333,-0.5
19,3,-4.593333333,-1.5
19,4,-4.093333333,-1.3
19,5,-0.803333332999999,-3
19,6,2.64,-3.5
19,7,1,0.8
19,8,1.17,0.2
19,9,0.796666667,1
19,10,1.32,0
19,11,-0.196666667000001,0
19,12,-2.316666667,1.3
19,13,-3.84,0.600000000000001
19,14,-2.693333333,-1.7
19,15,-1.233333333,-1.9
20,5,-3.203333333,0.0999999999999996
20,12,-1.916666667,1.4
20,15,-1.833333333,0.5
20,16,-2.003333333,0.4
20,17,-2.06,-0.300000000000001
20,18,-1.576666667,-1.4
20,19,-1.946666667,0.2
20,20,-1.463333333,-0.3
20,21,-0.543333333000001,-0.899999999999999
20,24,-0.176666667,0.5
20,27,1.726666667,-0.6
20,28,2.74,-0.3
20,29,2.41,0
20,33,-0.553333333,0.300000000000001
20,36,-2.176666667,0.199999999999999
20,43,-1.83,-0.699999999999999
20,46,-0.096666667,0.7
20,47,-0.64,0.61
20,48,0.273333333,NaN
20,49,1.006666667,0.00999999999999979
20,50,1.496666667,0.00999999999999979
20,51,1.98,0.31
20,52,2.456666667,0.22
20,55,-0.73,1.09
20,56,-1.17,0.0899999999999999
20,57,-0.58,-0.5
20,58,-0.523333333,0
20,59,-0.273333333,-0.65
20,64,-0.016666667,0.0600000000000005
