MZ_data_mat_h11,MZ_data_mat_h12,MZ_data_mat_h13,MZ_data_mat_h14
9,2,10.8,12.81333333
9,3,12,12.42
9,4,11,9.316666667
9,5,9,7.906666667
9,6,7.8,8.106666667
9,7,8.2,8.396666667
9,8,8.4,9.14
9,9,8.2,8.8
9,10,NaN,9.17
9,11,9.2,9.796666667
9,12,9.6,10.32
9,14,8.7,8.183333333
9,15,8.4,7.46
9,16,7.2,7.106666667
9,17,8.2,7.166666667
9,18,7.5,6.896666667
9,19,6.9,6.14
9,21,5.8,5.353333333
9,22,5.76,5.536666667
9,23,5.7,5.656666667
9,24,5.42,6.043333333
9,25,5.5,5.863333333
9,28,5.8,7.01
9,29,7,7.726666667
9,30,7.5,8.54
12,1,NaN,11.75
12,2,NaN,12.81333333
12,4,NaN,9.316666667
12,6,NaN,8.106666667
12,7,8.7,8.396666667
12,8,8.3,9.14
12,9,8,8.8
12,10,9,9.17
12,11,8.9,9.796666667
12,12,10.5,10.32
12,14,9.3,8.183333333
12,17,7.63,7.166666667
12,18,7,6.896666667
12,20,6.45,5.523333333
12,21,5.15,5.353333333
12,22,5,5.536666667
12,23,5.8,5.656666667
12,24,6.25,6.043333333
12,27,5.9,6.21
12,28,6.2,7.01
12,31,8.75,8.41
12,32,8.4,7.843333333
12,33,8.1,7.653333333
12,34,7.65,7.76
13,1,NaN,11.75
13,2,14.7,12.81333333
13,4,12,9.316666667
13,6,9.4,8.106666667
13,8,8.2,9.14
13,9,8.3,8.8
13,10,8.6,9.17
13,11,8.5,9.796666667
13,12,9.15,10.32
13,13,9.85,8.803333333
13,16,8.4,7.106666667
13,17,7.7,7.166666667
13,18,7.3,6.896666667
13,19,7.4,6.14
13,20,7.2,5.523333333
13,22,5.5,5.536666667
13,29,7.4,7.726666667
15,4,14.25,9.316666667
15,12,10.5,10.32
15,13,10.75,8.803333333
15,15,8.25,7.46
15,16,7,7.106666667
15,17,7,7.166666667
15,18,6.9,6.896666667
15,20,5.75,5.523333333
15,21,5.1,5.353333333
15,22,4.9,5.536666667
15,23,4.85,5.656666667
15,24,5.5,6.043333333
15,25,6.1,5.863333333
15,26,5.5,5.723333333
15,27,5.5,6.21
15,28,6.35,7.01
15,30,7.8,8.54
15,31,9,8.41
15,33,7.15,7.653333333
15,34,7.2,7.76
15,35,7.4,7.746666667
16,1,13,11.75
16,2,9,12.81333333
16,3,13,12.42
16,4,11,9.316666667
16,5,9,7.906666667
16,7,7.5,8.396666667
16,8,7.9,9.14
16,9,8.4,8.8
16,10,8.6,9.17
16,12,9.5,10.32
19,1,14.5,11.75
19,2,11,12.81333333
19,3,11,12.42
19,4,12.1,9.316666667
19,5,7.8,7.906666667
19,6,6.6,8.106666667
19,7,7.8,8.396666667
19,8,8,9.14
19,9,9.3,8.8
19,10,9,9.17
19,11,8.9,9.796666667
19,12,9.9,10.32
19,13,10.6,8.803333333
19,14,9.3,8.183333333
19,15,8,7.46
20,2,14,12.81333333
20,4,11.4,9.316666667
20,5,12.1,7.906666667
20,9,9.4,8.8
20,11,8.84,9.796666667
20,12,10.25,10.32
20,14,8.6,8.183333333
20,15,9,7.46
20,16,9,7.106666667
20,17,7.6,7.166666667
20,18,7.3,6.896666667
20,19,7.2,6.14
20,20,6.9,5.523333333
20,21,6,5.353333333
20,23,5.34,5.656666667
20,24,5.53,6.043333333
20,26,6.54,5.723333333
20,27,5.9,6.21
20,28,5.8,7.01
20,29,6.5,7.726666667
20,32,8.5,7.843333333
20,33,8.43,7.653333333
20,35,8,7.746666667
20,36,7.8,7.476666667
20,38,7.29,6.023333333
20,40,6.03,5.376666667
20,42,5.5,3.893333333
20,43,5,3.68
20,45,2.6,3.07
20,46,3.09,2.96
20,47,3.7,2.966666667
20,48,2.97,3.003333333
20,49,2.96,3.06
20,50,3,3.243333333
20,51,3,3.986666667
20,52,3.27,4.476666667
20,54,4.6,5.736666667
20,55,5.7,5.596666667
20,56,5.9,5.366666667
20,57,5.7,5.26
20,58,5.71,4.93
20,59,5.27,5.02
20,61,5.2,4.976666667
20,63,5.03,5.046666667
20,64,5.01,5.046666667
20,66,5.06,5.053333333
20,67,5.08,4.976666667
20,69,4.99,4.253333333
20,70,4.79,4.406666667
20,72,4.6,4.65
20,73,4.5,5.043333333
20,74,4.63,5.52
20,75,5.18,5.713333333
20,76,5.54,6.016666667
20,77,5.77,6.016666667
20,78,6.05,4.816666667
20,79,6.03,3.66
20,80,4.86,3.17
20,81,3.73,1.906666667
20,82,3.09,1.72
20,83,1.99,1.713333333
20,84,1.76,1.643333333
20,85,1.73,1.333333333
20,86,1.61,1.156666667
20,87,1.3,1.04
20,88,1.18,0.93
20,89,1.07,0.916666667
20,90,0.94,0.916666667
20,91,0.93,1.076666667
20,92,0.92,1.486666667
20,93,1.27,2.006666667
20,94,1.54,2.536666667
20,95,2.07,2.863333333
20,98,3.91,4.393333333
20,99,3.87,4.703333333
20,100,4.89,4.906666667
20,101,4.75,4.903333333
20,102,4.94,4.983333333
20,103,4.98,4.736666667
20,104,4.99,4.303333333
20,105,4.76,3.39
20,106,4.29,2.043333333
20,108,2.9,1.493333333
20,109,2.11,0.296666667
20,112,0.23,0.156666667
23,1,14.7,11.75
