MZ_data_mat_h41,MZ_data_mat_h42,MZ_data_mat_h43,MZ_data_mat_h44
9,2,10,7.906666667
9,3,11,8.106666667
9,4,9,8.396666667
9,5,9,9.14
9,6,7.6,8.8
9,7,8,9.17
9,8,8.5,9.796666667
9,9,8.4,10.32
9,10,NaN,8.803333333
9,11,8.6,8.183333333
9,12,9,7.46
9,14,9.1,7.166666667
9,15,8.7,6.896666667
9,16,7.6,6.14
9,17,8.8,5.523333333
9,18,7.26,5.353333333
9,19,6.9,5.536666667
9,21,5.7,6.043333333
9,22,5.57,5.863333333
9,23,6,5.723333333
9,24,5.8,6.21
9,25,5.8,7.01
9,28,5.82,8.41
9,29,7.4,7.843333333
9,30,7.6,7.653333333
12,1,NaN,9.316666667
12,2,NaN,7.906666667
12,4,NaN,8.396666667
12,6,NaN,8.8
12,7,8,9.17
12,8,7.9,9.796666667
12,9,8.3,10.32
12,10,8.8,8.803333333
12,11,9.1,8.183333333
12,12,10,7.46
12,14,8.9,7.166666667
12,17,7.2,5.523333333
12,18,6.8,5.353333333
12,20,6.98,5.656666667
12,21,5.25,6.043333333
12,22,5.3,5.863333333
12,23,6.2,5.723333333
12,24,6.45,6.21
12,27,6.45,8.54
12,28,6.5,8.41
12,31,9.25,7.76
12,32,8.9,7.746666667
12,33,8.4,7.476666667
12,34,8,6.99
13,1,NaN,9.316666667
13,2,14,7.906666667
13,4,11.9,8.396666667
13,6,8.9,8.8
13,8,7.9,9.796666667
13,9,8.1,10.32
13,10,8.1,8.803333333
13,11,8.7,8.183333333
13,12,9.27,7.46
13,13,9.75,7.106666667
13,16,8.7,6.14
13,17,8.1,5.523333333
13,18,7.9,5.353333333
13,19,7.8,5.536666667
13,20,7.5,5.656666667
13,22,5.7,5.863333333
13,29,7.7,7.843333333
15,4,13,8.396666667
15,12,12,7.46
15,13,11.5,7.106666667
15,15,NaN,6.896666667
15,16,7.25,6.14
15,17,7.4,5.523333333
15,18,7.3,5.353333333
15,20,6.15,5.656666667
15,21,5.6,6.043333333
15,22,4.75,5.863333333
15,23,5.1,5.723333333
15,24,6.2,6.21
15,25,6.85,7.01
15,26,5.9,7.726666667
15,27,6.75,8.54
15,28,8.5,8.41
15,30,7.65,7.653333333
15,31,7.05,7.76
15,33,7.25,7.476666667
15,34,7.5,6.99
15,35,7.8,6.023333333
16,1,12,9.316666667
16,2,16,7.906666667
16,3,12.5,8.106666667
16,4,9.5,8.396666667
16,5,10,9.14
16,7,8.5,9.17
16,8,8,9.796666667
16,9,8.9,10.32
16,10,9.3,8.803333333
16,12,9.5,7.46
19,1,14,9.316666667
19,2,14,7.906666667
19,3,13.5,8.106666667
19,4,12.2,8.396666667
19,5,10,9.14
19,6,7,8.8
19,7,7.8,9.17
19,8,8,9.796666667
19,9,9,10.32
19,10,9,8.803333333
19,11,9.2,8.183333333
19,12,10.7,7.46
19,13,11.5,7.106666667
19,14,10.3,7.166666667
19,15,8.5,6.896666667
20,2,13,7.906666667
20,4,11.5,8.396666667
20,5,12,9.14
20,9,8.9,10.32
20,11,8.7,8.183333333
20,12,10,7.46
20,14,8.5,7.166666667
20,15,8.5,6.896666667
20,16,8.5,6.14
20,17,8.5,5.523333333
20,18,7.1,5.353333333
20,19,7.3,5.536666667
20,20,7.1,5.656666667
20,21,6.3,6.043333333
20,23,5.4,5.723333333
20,24,5.5,6.21
20,26,6.6,7.726666667
20,27,6.1,8.54
20,28,6,8.41
20,29,6,7.843333333
20,32,8,7.746666667
20,33,8.3,7.476666667
20,35,8,6.023333333
20,36,8.1,5.56
20,38,7.4,4.54
20,40,6.2,3.68
20,42,5.6,3.07
20,43,4.5,2.96
20,45,2.4,3.003333333
20,46,3.09,3.06
20,47,NaN,3.243333333
20,48,2.97,3.986666667
20,49,2.97,4.476666667
20,50,2.99,5.28
20,51,3.06,5.736666667
20,52,3.3,5.596666667
20,54,4.9,5.26
20,55,6.01,4.93
20,56,6.1,5.02
20,57,5.62,5.096666667
20,58,5.9,4.976666667
20,59,5.2,5.06
20,61,5.2,5.046666667
20,63,5.01,5.053333333
20,64,5.1,4.976666667
20,66,5.06,4.253333333
20,67,5.09,4.406666667
20,69,4.98,4.65
20,70,4.75,5.043333333
20,72,4.6,5.713333333
20,73,4.4,6.016666667
20,74,4.6,6.016666667
20,75,5.2,4.816666667
20,76,5.9,3.66
20,77,5.75,3.17
20,78,6.2,1.906666667
20,79,6,1.72
