MZ_data_mat_h21,MZ_data_mat_h22,MZ_data_mat_h23,MZ_data_mat_h24
9,2,10.5,12.42
9,3,12,9.316666667
9,4,11,7.906666667
9,5,9.5,8.106666667
9,6,8,8.396666667
9,7,8.5,9.14
9,8,8.2,8.8
9,9,8.2,9.17
9,10,NaN,9.796666667
9,11,9,10.32
9,12,9.4,8.803333333
9,14,8.8,7.46
9,15,8.5,7.106666667
9,16,7.4,7.166666667
9,17,8.4,6.896666667
9,18,7.15,6.14
9,19,6.9,5.523333333
9,21,5.8,5.536666667
9,22,5.5,5.656666667
9,23,5.85,6.043333333
9,24,5.43,5.863333333
9,25,5.5,5.723333333
9,28,5.7,7.726666667
9,29,7.2,8.54
9,30,7.5,8.41
12,1,NaN,12.81333333
12,2,NaN,12.42
12,4,NaN,7.906666667
12,6,NaN,8.396666667
12,7,9,9.14
12,8,8.2,8.8
12,9,8.6,9.17
12,10,8.9,9.796666667
12,11,8.9,10.32
12,12,10.2,8.803333333
12,14,9.1,7.46
12,17,7.5,6.896666667
12,18,7,6.14
12,20,6.75,5.353333333
12,21,5,5.536666667
12,22,5.1,5.656666667
12,23,6,6.043333333
12,24,6.35,5.863333333
12,27,6.05,7.01
12,28,6.3,7.726666667
12,31,9,7.843333333
12,32,8.6,7.653333333
12,33,8.2,7.76
12,34,7.8,7.746666667
13,1,NaN,12.81333333
13,2,15,12.42
13,4,12.3,7.906666667
13,6,9.2,8.396666667
13,8,8.1,8.8
13,9,8.3,9.17
13,10,8.5,9.796666667
13,11,8.6,10.32
13,12,9.2,8.803333333
13,13,9.8,8.183333333
13,16,8.4,7.166666667
13,17,7.8,6.896666667
13,18,7.5,6.14
13,19,7.5,5.523333333
13,20,7.4,5.353333333
13,22,5.7,5.656666667
13,29,7.6,8.54
15,4,15,7.906666667
15,12,11,8.803333333
15,13,11.25,8.183333333
15,15,9.25,7.106666667
15,16,7,7.166666667
15,17,7,6.896666667
15,18,7,6.14
15,20,5.8,5.353333333
15,21,5.1,5.536666667
15,22,4.75,5.656666667
15,23,4.85,6.043333333
15,24,5.85,5.863333333
15,25,6.35,5.723333333
15,26,5.25,6.21
15,27,5.65,7.01
15,28,6.7,7.726666667
15,30,8.4,8.41
15,31,9.25,7.843333333
15,33,7,7.76
15,34,7,7.746666667
15,35,7.4,7.476666667
16,1,13,12.81333333
16,2,11,12.42
16,3,12.8,9.316666667
16,4,10,7.906666667
16,5,9,8.106666667
16,7,7.5,9.14
16,8,7.8,8.8
16,9,8.4,9.17
16,10,9,9.796666667
16,12,10,8.803333333
19,1,13,12.81333333
19,2,12,12.42
19,3,12,9.316666667
19,4,12.1,7.906666667
19,5,8.5,8.106666667
19,6,6.1,8.396666667
19,7,7.8,9.14
19,8,8,8.8
19,9,9,9.17
19,10,9,9.796666667
19,11,8.9,10.32
19,12,10.2,8.803333333
19,13,11,8.183333333
19,14,9.5,7.46
19,15,8.2,7.106666667
20,2,13,12.42
20,4,12.4,7.906666667
20,5,12,8.106666667
20,9,9,9.17
20,11,8.9,10.32
20,12,10.15,8.803333333
20,14,9,7.46
20,15,9.1,7.106666667
20,16,9,7.166666667
20,17,8.2,6.896666667
20,18,7.2,6.14
20,19,7.2,5.523333333
20,20,7,5.353333333
20,21,6.2,5.536666667
20,23,5.7,6.043333333
20,24,5.54,5.863333333
20,26,6.5,6.21
20,27,6,7.01
20,28,5.9,7.726666667
20,29,6.3,8.54
20,32,8.4,7.653333333
20,33,8.3,7.76
20,35,7.8,7.476666667
20,36,7.7,6.99
20,38,7.32,5.56
20,40,6.1,4.54
20,42,5.8,3.68
20,43,4.9,3.083333333
